# PRE-SEED-FIX, ABANDONED. Divergence events from the same pre-fix run as
# notes/gbt_tuning_prefix_ABANDONED.csv -- see that file's header for why.
# All events here are source=eval, round 1-51, from the un-seeded xgboost RNG
# landing in the pathological corner, not a genuine objective/eta corner case.
# DO NOT USE for the paper's divergence disclosure. Kept only as the incident
# record.
max_depth,eta,min_child_weight,subsample,colsample_bytree,fold,round,source,n_grad_floored,n_hess_floored,raw_value
2,0.01,1,1,0.7,1,26,eval,NA,NA,NA
2,0.01,1,1,0.7,1,27,eval,NA,NA,NA
2,0.01,1,1,0.7,1,28,eval,NA,NA,NA
2,0.01,1,1,0.7,1,29,eval,NA,NA,NA
2,0.01,1,1,0.7,1,30,eval,NA,NA,NA
2,0.01,1,1,0.7,1,31,eval,NA,NA,NA
2,0.01,1,1,0.7,1,32,eval,NA,NA,NA
2,0.01,1,1,0.7,1,33,eval,NA,NA,NA
2,0.01,1,1,0.7,1,34,eval,NA,NA,NA
2,0.01,1,1,0.7,1,35,eval,NA,NA,NA
2,0.01,1,1,0.7,1,36,eval,NA,NA,NA
2,0.01,1,1,0.7,1,37,eval,NA,NA,NA
2,0.01,1,1,0.7,1,38,eval,NA,NA,NA
2,0.01,1,1,0.7,1,39,eval,NA,NA,NA
2,0.01,1,1,0.7,1,40,eval,NA,NA,NA
2,0.01,1,1,0.7,1,41,eval,NA,NA,NA
2,0.01,1,1,0.7,1,42,eval,NA,NA,NA
2,0.01,1,1,0.7,1,43,eval,NA,NA,NA
2,0.01,1,1,0.7,1,44,eval,NA,NA,NA
2,0.01,1,1,0.7,1,45,eval,NA,NA,NA
2,0.01,1,1,0.7,1,46,eval,NA,NA,NA
2,0.01,1,1,0.7,1,47,eval,NA,NA,NA
2,0.01,1,1,0.7,1,48,eval,NA,NA,NA
2,0.01,1,1,0.7,1,49,eval,NA,NA,NA
2,0.01,1,1,0.7,1,50,eval,NA,NA,NA
2,0.01,1,1,0.7,1,51,eval,NA,NA,NA
2,0.01,1,1,0.7,2,1,eval,NA,NA,NA
2,0.01,1,1,0.7,2,2,eval,NA,NA,NA
2,0.01,1,1,0.7,2,3,eval,NA,NA,NA
2,0.01,1,1,0.7,2,4,eval,NA,NA,NA
2,0.01,1,1,0.7,2,5,eval,NA,NA,NA
2,0.01,1,1,0.7,2,6,eval,NA,NA,NA
2,0.01,1,1,0.7,2,7,eval,NA,NA,NA
2,0.01,1,1,0.7,2,8,eval,NA,NA,NA
2,0.01,1,1,0.7,2,9,eval,NA,NA,NA
2,0.01,1,1,0.7,2,10,eval,NA,NA,NA
2,0.01,1,1,0.7,2,11,eval,NA,NA,NA
2,0.01,1,1,0.7,2,12,eval,NA,NA,NA
2,0.01,1,1,0.7,2,13,eval,NA,NA,NA
2,0.01,1,1,0.7,2,14,eval,NA,NA,NA
2,0.01,1,1,0.7,2,15,eval,NA,NA,NA
2,0.01,1,1,0.7,2,16,eval,NA,NA,NA
2,0.01,1,1,0.7,2,17,eval,NA,NA,NA
2,0.01,1,1,0.7,2,18,eval,NA,NA,NA
2,0.01,1,1,0.7,2,19,eval,NA,NA,NA
2,0.01,1,1,0.7,2,20,eval,NA,NA,NA
2,0.01,1,1,0.7,2,21,eval,NA,NA,NA
2,0.01,1,1,0.7,2,22,eval,NA,NA,NA
2,0.01,1,1,0.7,2,23,eval,NA,NA,NA
2,0.01,1,1,0.7,2,24,eval,NA,NA,NA
2,0.01,1,1,0.7,2,25,eval,NA,NA,NA
2,0.01,1,1,0.7,2,26,eval,NA,NA,NA
2,0.01,1,1,0.7,2,27,eval,NA,NA,NA
2,0.01,1,1,0.7,2,28,eval,NA,NA,NA
2,0.01,1,1,0.7,2,29,eval,NA,NA,NA
2,0.01,1,1,0.7,2,30,eval,NA,NA,NA
2,0.01,1,1,0.7,2,31,eval,NA,NA,NA
2,0.01,1,1,0.7,2,32,eval,NA,NA,NA
2,0.01,1,1,0.7,2,33,eval,NA,NA,NA
2,0.01,1,1,0.7,2,34,eval,NA,NA,NA
2,0.01,1,1,0.7,2,35,eval,NA,NA,NA
2,0.01,1,1,0.7,2,36,eval,NA,NA,NA
2,0.01,1,1,0.7,2,37,eval,NA,NA,NA
2,0.01,1,1,0.7,2,38,eval,NA,NA,NA
2,0.01,1,1,0.7,2,39,eval,NA,NA,NA
2,0.01,1,1,0.7,2,40,eval,NA,NA,NA
2,0.01,1,1,0.7,2,41,eval,NA,NA,NA
2,0.01,1,1,0.7,2,42,eval,NA,NA,NA
2,0.01,1,1,0.7,2,43,eval,NA,NA,NA
2,0.01,1,1,0.7,2,44,eval,NA,NA,NA
2,0.01,1,1,0.7,2,45,eval,NA,NA,NA
2,0.01,1,1,0.7,2,46,eval,NA,NA,NA
2,0.01,1,1,0.7,2,47,eval,NA,NA,NA
2,0.01,1,1,0.7,2,48,eval,NA,NA,NA
2,0.01,1,1,0.7,2,49,eval,NA,NA,NA
2,0.01,1,1,0.7,2,50,eval,NA,NA,NA
2,0.01,1,1,0.7,2,51,eval,NA,NA,NA
2,0.01,1,1,0.7,3,1,eval,NA,NA,NA
2,0.01,1,1,0.7,3,2,eval,NA,NA,NA
2,0.01,1,1,0.7,3,3,eval,NA,NA,NA
2,0.01,1,1,0.7,3,4,eval,NA,NA,NA
2,0.01,1,1,0.7,3,5,eval,NA,NA,NA
2,0.01,1,1,0.7,3,6,eval,NA,NA,NA
2,0.01,1,1,0.7,3,7,eval,NA,NA,NA
2,0.01,1,1,0.7,3,8,eval,NA,NA,NA
2,0.01,1,1,0.7,3,9,eval,NA,NA,NA
2,0.01,1,1,0.7,3,10,eval,NA,NA,NA
2,0.01,1,1,0.7,3,11,eval,NA,NA,NA
2,0.01,1,1,0.7,3,12,eval,NA,NA,NA
2,0.01,1,1,0.7,3,13,eval,NA,NA,NA
2,0.01,1,1,0.7,3,14,eval,NA,NA,NA
2,0.01,1,1,0.7,3,15,eval,NA,NA,NA
2,0.01,1,1,0.7,3,16,eval,NA,NA,NA
2,0.01,1,1,0.7,3,17,eval,NA,NA,NA
2,0.01,1,1,0.7,3,18,eval,NA,NA,NA
2,0.01,1,1,0.7,3,19,eval,NA,NA,NA
2,0.01,1,1,0.7,3,20,eval,NA,NA,NA
2,0.01,1,1,0.7,3,21,eval,NA,NA,NA
2,0.01,1,1,0.7,3,22,eval,NA,NA,NA
2,0.01,1,1,0.7,3,23,eval,NA,NA,NA
2,0.01,1,1,0.7,3,24,eval,NA,NA,NA
2,0.01,1,1,0.7,3,25,eval,NA,NA,NA
2,0.01,1,1,0.7,3,26,eval,NA,NA,NA
2,0.01,1,1,0.7,3,27,eval,NA,NA,NA
2,0.01,1,1,0.7,3,28,eval,NA,NA,NA
2,0.01,1,1,0.7,3,29,eval,NA,NA,NA
2,0.01,1,1,0.7,3,30,eval,NA,NA,NA
2,0.01,1,1,0.7,3,31,eval,NA,NA,NA
2,0.01,1,1,0.7,3,32,eval,NA,NA,NA
2,0.01,1,1,0.7,3,33,eval,NA,NA,NA
2,0.01,1,1,0.7,3,34,eval,NA,NA,NA
2,0.01,1,1,0.7,3,35,eval,NA,NA,NA
2,0.01,1,1,0.7,3,36,eval,NA,NA,NA
2,0.01,1,1,0.7,3,37,eval,NA,NA,NA
2,0.01,1,1,0.7,3,38,eval,NA,NA,NA
2,0.01,1,1,0.7,3,39,eval,NA,NA,NA
2,0.01,1,1,0.7,3,40,eval,NA,NA,NA
2,0.01,1,1,0.7,3,41,eval,NA,NA,NA
2,0.01,1,1,0.7,3,42,eval,NA,NA,NA
2,0.01,1,1,0.7,3,43,eval,NA,NA,NA
2,0.01,1,1,0.7,3,44,eval,NA,NA,NA
2,0.01,1,1,0.7,3,45,eval,NA,NA,NA
2,0.01,1,1,0.7,3,46,eval,NA,NA,NA
2,0.01,1,1,0.7,3,47,eval,NA,NA,NA
2,0.01,1,1,0.7,3,48,eval,NA,NA,NA
2,0.01,1,1,0.7,3,49,eval,NA,NA,NA
2,0.01,1,1,0.7,3,50,eval,NA,NA,NA
2,0.01,1,1,0.7,3,51,eval,NA,NA,NA
2,0.01,1,1,0.7,4,1,eval,NA,NA,NA
2,0.01,1,1,0.7,4,2,eval,NA,NA,NA
2,0.01,1,1,0.7,4,3,eval,NA,NA,NA
2,0.01,1,1,0.7,4,4,eval,NA,NA,NA
2,0.01,1,1,0.7,4,5,eval,NA,NA,NA
